00:10:32.0670181 [Info] User 0 sets frequency to 0.8.
00:10:32.6841132 [Info] User 0 sets frequency to 0.9.
00:10:33.3505718 [Info] User 0 sets frequency to 1.
00:10:37.5670740 [Info] User 0 sets frequency to 1.1.
00:10:42.5421299 [Info] User 0 sets frequency to 0.6.
00:10:44.2910628 [Info] User sets phase shift to 4.8171086.
00:10:44.6129718 [Info] User sets phase shift to 4.8694687.
00:10:44.6632420 [Info] User sets phase shift to 4.8869224.
00:10:44.6807743 [Info] User sets phase shift to 4.9218287.
00:10:44.6961993 [Info] User sets phase shift to 5.0614552.
00:10:44.7107721 [Info] User sets phase shift to 5.148721.
00:10:44.7290536 [Info] User sets phase shift to 5.2534413.
00:10:44.7469111 [Info] User sets phase shift to 5.323254.
00:10:44.7643436 [Info] User sets phase shift to 5.4454274.
00:10:44.7816431 [Info] User sets phase shift to 5.6548667.
00:10:44.7947274 [Info] User sets phase shift to 5.742133.
00:10:44.8140486 [Info] User sets phase shift to 5.8468533.
00:10:44.8350149 [Info] User sets phase shift to 5.969026.
00:10:44.8454712 [Info] User sets phase shift to 6.0388393.
00:10:44.8608204 [Info] User sets phase shift to 6.0911994.
00:10:44.8799774 [Info] User sets phase shift to 6.1086526.
00:10:44.8981324 [Info] User sets phase shift to 6.126106.
00:10:44.9628573 [Info] User sets phase shift to 6.143559.
00:10:45.0965015 [Info] User sets phase shift to 6.161012.
00:10:45.1136268 [Info] User sets phase shift to 6.178466.
00:10:45.1302901 [Info] User sets phase shift to 6.195919.
00:10:45.1463229 [Info] User sets phase shift to 6.213372.
00:10:45.1653155 [Info] User sets phase shift to 6.2308254.
00:10:45.1816123 [Info] User sets phase shift to 6.2482786.
00:10:45.2314070 [Info] User sets phase shift to 6.2657323.
00:10:47.7323451 [Info] User 0 sets frequency to 0.7.
00:10:47.7510823 [Info] User 0 sets frequency to 0.8.
00:10:47.9175449 [Info] User 0 sets frequency to 0.9.
00:10:48.0346772 [Info] User 0 sets frequency to 1.
00:10:48.1356796 [Info] User 0 sets frequency to 1.1.
00:11:04.1212417 [Info] User 0 sets frequency to 0.9.
00:11:04.4180236 [Info] User 0 sets frequency to 0.8.
00:11:04.9340761 [Info] User 0 sets frequency to 0.9.
00:11:10.9575480 [Info] User 0 sets frequency to 1.
00:11:11.7342813 [Info] User 0 sets frequency to 1.1.
