frame,timestamp_sec,speed_px/s,distance_px/s
522,17.4174,0.000,0.000
523,17.4507,0.000,0.000
524,17.4841,0.000,0.000
525,17.5175,0.000,0.000
526,17.5508,0.000,0.000
527,17.5842,0.000,0.000
528,17.6176,0.000,0.000
529,17.6509,0.000,0.000
530,17.6843,0.000,0.000
531,17.7177,0.000,0.000
532,17.7510,0.000,0.000
533,17.7844,0.000,0.000
534,17.8178,7.493,0.250
535,17.8511,0.000,0.000
536,17.8845,0.000,0.000
537,17.9179,0.000,0.000
538,17.9512,0.000,0.000
539,17.9846,0.000,0.000
540,18.0180,0.000,0.000
541,18.0513,0.000,0.000
542,18.0847,0.000,0.000
543,18.1181,0.000,0.000
544,18.1514,0.000,0.000
545,18.1848,0.000,0.000
546,18.2182,0.000,0.000
547,18.2515,0.000,0.000
548,18.2849,0.000,0.000
549,18.3183,0.000,0.000
550,18.3516,0.000,0.000
551,18.3850,0.000,0.000
552,18.4184,0.000,0.000
553,18.4517,0.000,0.000
554,18.4851,0.000,0.000
555,18.5185,0.000,0.000
556,18.5518,0.000,0.000
557,18.5852,0.000,0.000
558,18.6186,0.000,0.000
559,18.6519,0.000,0.000
560,18.6853,0.000,0.000
561,18.7187,0.000,0.000
562,18.7520,0.000,0.000
563,18.7854,0.000,0.000
564,18.8188,0.000,0.000
565,18.8521,0.000,0.000
566,18.8855,0.000,0.000
567,18.9189,0.000,0.000
568,18.9522,0.000,0.000
569,18.9856,0.000,0.000
570,19.0190,0.000,0.000
571,19.0523,0.000,0.000
572,19.0857,0.000,0.000
573,19.1191,0.000,0.000
574,19.1524,0.000,0.000
575,19.1858,0.000,0.000
576,19.2192,0.000,0.000
577,19.2525,0.000,0.000
578,19.2859,0.000,0.000
579,19.3193,0.000,0.000
580,19.3526,0.000,0.000
581,19.3860,0.000,0.000
582,19.4194,0.000,0.000
583,19.4527,0.000,0.000
584,19.4861,0.000,0.000
585,19.5195,0.000,0.000
586,19.5528,0.000,0.000
587,19.5862,0.000,0.000
588,19.6196,0.000,0.000
589,19.6529,0.000,0.000
590,19.6863,0.000,0.000
591,19.7197,0.000,0.000
592,19.7530,0.000,0.000
593,19.7864,0.000,0.000
594,19.8198,0.000,0.000
595,19.8531,0.000,0.000
596,19.8865,0.000,0.000
597,19.9199,0.000,0.000
598,19.9532,0.000,0.000
599,19.9866,0.000,0.000
600,20.0200,0.000,0.000
601,20.0533,0.000,0.000
602,20.0867,0.000,0.000
603,20.1201,0.000,0.000
604,20.1534,0.000,0.000
605,20.1868,0.000,0.000
606,20.2202,0.000,0.000
607,20.2535,0.000,0.000
608,20.2869,0.000,0.000
609,20.3203,0.000,0.000
610,20.3536,0.000,0.000
611,20.3870,0.000,0.000
612,20.4204,0.000,0.000
613,20.4537,0.000,0.000
614,20.4871,0.000,0.000
615,20.5205,0.000,0.000
616,20.5538,0.000,0.000
617,20.5872,0.000,0.000
618,20.6206,0.000,0.000
619,20.6539,0.000,0.000
620,20.6873,0.000,0.000
621,20.7207,0.000,0.000
622,20.7540,0.000,0.000
623,20.7874,0.000,0.000
624,20.8208,0.000,0.000
625,20.8541,0.000,0.000
626,20.8875,0.000,0.000
627,20.9209,0.000,0.000
628,20.9542,0.000,0.000
629,20.9876,0.000,0.000
630,21.0210,0.000,0.000
631,21.0543,0.000,0.000
632,21.0877,0.000,0.000
633,21.1211,0.000,0.000
634,21.1544,0.000,0.000
635,21.1878,0.000,0.000
636,21.2212,0.000,0.000
637,21.2545,0.000,0.000
638,21.2879,0.000,0.000
639,21.3213,0.000,0.000
640,21.3546,0.000,0.000
641,21.3880,0.000,0.000
642,21.4214,0.000,0.000
643,21.4547,0.000,0.000
644,21.4881,0.000,0.000
645,21.5215,0.000,0.000
646,21.5548,0.000,0.000
647,21.5882,0.000,0.000
648,21.6216,0.000,0.000
649,21.6549,0.000,0.000
650,21.6883,0.000,0.000
651,21.7217,0.000,0.000
652,21.7550,0.000,0.000
653,21.7884,0.000,0.000
654,21.8218,0.000,0.000
655,21.8551,0.000,0.000
656,21.8885,0.000,0.000
657,21.9219,7.493,0.250
658,21.9552,0.000,0.000
659,21.9886,0.000,0.000
660,22.0220,0.000,0.000
661,22.0553,7.493,0.250
662,22.0887,0.000,0.000
663,22.1221,0.000,0.000
664,22.1554,0.000,0.000
665,22.1888,0.000,0.000
666,22.2222,0.000,0.000
667,22.2555,0.000,0.000
668,22.2889,0.000,0.000
669,22.3223,0.000,0.000
670,22.3556,0.000,0.000
671,22.3890,0.000,0.000
672,22.4224,0.000,0.000
673,22.4557,0.000,0.000
674,22.4891,0.000,0.000
675,22.5225,0.000,0.000
676,22.5558,0.000,0.000
677,22.5892,0.000,0.000
678,22.6226,0.000,0.000
679,22.6559,0.000,0.000
680,22.6893,0.000,0.000
681,22.7227,0.000,0.000
682,22.7560,0.000,0.000
683,22.7894,0.000,0.000
684,22.8228,0.000,0.000
685,22.8561,0.000,0.000
686,22.8895,0.000,0.000
687,22.9229,0.000,0.000
688,22.9562,0.000,0.000
689,22.9896,0.000,0.000
690,23.0230,0.000,0.000
691,23.0563,0.000,0.000
692,23.0897,0.000,0.000
693,23.1231,0.000,0.000
694,23.1564,0.000,0.000
695,23.1898,0.000,0.000
696,23.2232,0.000,0.000
697,23.2565,0.000,0.000
698,23.2899,0.000,0.000
699,23.3233,0.000,0.000
700,23.3566,0.000,0.000
701,23.3900,0.000,0.000
702,23.4234,0.000,0.000
703,23.4567,0.000,0.000
704,23.4901,0.000,0.000
705,23.5235,0.000,0.000
706,23.5568,0.000,0.000
707,23.5902,0.000,0.000
708,23.6236,0.000,0.000
709,23.6569,0.000,0.000
710,23.6903,0.000,0.000
711,23.7237,0.000,0.000
712,23.7570,0.000,0.000
713,23.7904,0.000,0.000
714,23.8238,0.000,0.000
715,23.8571,0.000,0.000
716,23.8905,0.000,0.000
717,23.9239,0.000,0.000
718,23.9572,0.000,0.000
719,23.9906,0.000,0.000
720,24.0240,0.000,0.000
721,24.0573,0.000,0.000
722,24.0907,0.000,0.000
723,24.1241,0.000,0.000
724,24.1574,0.000,0.000
725,24.1908,0.000,0.000
726,24.2242,0.000,0.000
727,24.2575,0.000,0.000
728,24.2909,0.000,0.000
729,24.3243,0.000,0.000
730,24.3576,0.000,0.000
731,24.3910,0.000,0.000
732,24.4244,0.000,0.000
733,24.4577,0.000,0.000
734,24.4911,0.000,0.000
735,24.5245,0.000,0.000
