frame,timestamp,position_x_px,position_y_px,orientation,num_markers
504,16.8168,893.00,457.25,-20.19,1
505,16.8501,893.00,457.25,-20.19,1
506,16.8835,893.00,457.25,-20.19,1
507,16.9169,893.00,457.25,-20.19,1
508,16.9502,893.00,457.25,-20.19,1
509,16.9836,893.00,457.25,-20.19,1
510,17.0170,893.00,457.25,-20.19,1
511,17.0503,893.00,457.25,-20.19,1
512,17.0837,893.00,457.25,-20.19,1
513,17.1171,893.00,457.25,-20.19,1
514,17.1504,893.00,457.25,-20.19,1
515,17.1838,893.00,457.25,-20.19,1
516,17.2172,893.00,457.25,-20.19,1
517,17.2505,893.00,457.25,-20.19,1
518,17.2839,893.00,457.25,-20.19,1
519,17.3173,893.00,457.25,-20.19,1
520,17.3506,893.00,457.25,-20.19,1
521,17.3840,893.00,457.25,-20.19,1
522,17.4174,893.00,457.25,-20.19,1
523,17.4507,893.00,457.25,-20.19,1
524,17.4841,893.00,457.25,-20.19,1
525,17.5175,893.00,457.25,-20.19,1
526,17.5508,893.00,457.25,-20.19,1
527,17.5842,893.00,457.25,-20.19,1
528,17.6176,893.00,457.25,-20.19,1
529,17.6509,893.00,457.25,-20.19,1
530,17.6843,893.00,457.25,-20.19,1
531,17.7177,893.00,457.25,-20.19,1
532,17.7510,893.00,457.25,-20.19,1
533,17.7844,893.00,457.25,-20.19,1
534,17.8178,893.00,457.00,-19.44,1
535,17.8511,893.00,457.00,-19.44,1
536,17.8845,893.00,457.00,-19.44,1
537,17.9179,893.00,457.00,-19.44,1
538,17.9512,893.00,457.00,-19.44,1
539,17.9846,893.00,457.00,-19.44,1
540,18.0180,893.00,457.00,-19.44,1
541,18.0513,893.00,457.00,-19.44,1
542,18.0847,893.00,457.00,-19.44,1
543,18.1181,893.00,457.00,-19.44,1
544,18.1514,893.00,457.00,-19.44,1
545,18.1848,893.00,457.00,-19.44,1
546,18.2182,893.00,457.00,-19.44,1
547,18.2515,893.00,457.00,-19.44,1
548,18.2849,893.00,457.00,-19.44,1
549,18.3183,893.00,457.00,-19.44,1
550,18.3516,893.00,457.00,-19.44,1
551,18.3850,893.00,457.00,-19.44,1
552,18.4184,893.00,457.00,-19.44,1
553,18.4517,893.00,457.00,-19.44,1
554,18.4851,893.00,457.00,-19.44,1
555,18.5185,893.00,457.00,-19.44,1
556,18.5518,893.00,457.00,-19.44,1
557,18.5852,893.00,457.00,-19.44,1
558,18.6186,893.00,457.00,-19.44,1
559,18.6519,893.00,457.00,-19.44,1
560,18.6853,893.00,457.00,-19.44,1
561,18.7187,893.00,457.00,-19.44,1
562,18.7520,893.00,457.00,-19.44,1
563,18.7854,893.00,457.00,-19.44,1
564,18.8188,893.00,457.00,-19.44,1
565,18.8521,893.00,457.00,-19.44,1
566,18.8855,893.00,457.00,-19.44,1
567,18.9189,893.00,457.00,-19.44,1
568,18.9522,893.00,457.00,-19.44,1
569,18.9856,893.00,457.00,-19.44,1
570,19.0190,893.00,457.00,-19.44,1
571,19.0523,893.00,457.00,-19.44,1
572,19.0857,893.00,457.00,-19.44,1
573,19.1191,893.00,457.00,-19.44,1
574,19.1524,893.00,457.00,-19.44,1
575,19.1858,893.00,457.00,-19.44,1
576,19.2192,893.00,457.00,-19.44,1
577,19.2525,893.00,457.00,-19.44,1
578,19.2859,893.00,457.00,-19.44,1
579,19.3193,893.00,457.00,-19.44,1
580,19.3526,893.00,457.00,-19.44,1
581,19.3860,893.00,457.00,-19.44,1
582,19.4194,893.00,457.00,-19.44,1
583,19.4527,893.00,457.00,-19.44,1
584,19.4861,893.00,457.00,-19.44,1
585,19.5195,893.00,457.00,-19.44,1
586,19.5528,893.00,457.00,-19.44,1
587,19.5862,893.00,457.00,-19.44,1
588,19.6196,893.00,457.00,-19.44,1
