time,user,param,value,time_sec
00:03:39.9429561,2,phase shift,3.8571775,219.9429561
00:03:39.9594462,2,phase shift,3.8397243,219.9594462
00:03:39.9904793,2,phase shift,3.8048177,219.9904793
00:03:40.0108683,2,phase shift,3.7873645,220.0108683
00:03:40.0253992,2,phase shift,3.7699115,220.0253992
00:03:40.0429957,2,phase shift,3.7350047,220.0429957
00:03:40.0596793,2,phase shift,3.6826448,220.0596793
00:03:40.0762223,2,phase shift,3.6477382,220.07622229999998
00:03:40.0961870,2,phase shift,3.6128316,220.096187
00:03:40.1105857,2,phase shift,3.5953784,220.1105857
00:03:40.1252953,2,phase shift,3.5604718,220.1252953
00:03:40.1440822,2,phase shift,3.5430186,220.1440822
00:03:40.1596717,2,phase shift,3.5255651,220.1596717
00:03:40.1760547,2,phase shift,3.508112,220.1760547
00:03:40.1931416,2,phase shift,3.4557521,220.1931416
00:03:40.2097039,2,phase shift,3.4382985,220.2097039
00:03:40.2250589,2,phase shift,3.4208455,220.2250589
00:03:40.2442461,2,phase shift,3.3859386,220.2442461
00:03:40.2581861,2,phase shift,3.3510325,220.2581861
00:03:40.2918831,2,phase shift,3.3161259,220.2918831
00:03:40.3100023,2,phase shift,3.281219,220.3100023
00:03:40.3275386,2,phase shift,3.2637658,220.3275386
00:03:40.3422231,2,phase shift,3.2288592,220.3422231
00:03:40.3752824,2,phase shift,3.211406,220.3752824
00:03:40.4430537,2,phase shift,3.1939526,220.4430537
00:03:40.4595581,2,phase shift,3.1764994,220.4595581
00:03:40.4932997,2,phase shift,3.159046,220.4932997
00:03:40.5256243,2,phase shift,3.1415927,220.5256243
00:03:40.5587299,2,phase shift,3.1241393,220.5587299
00:03:40.6776917,2,phase shift,3.106686,220.6776917
00:03:40.9419353,2,phase shift,3.1241393,220.9419353
00:03:41.2101856,2,phase shift,3.159046,221.2101856
00:04:04.5021235,0,frequency,0.5,244.5021235
00:04:04.5026283,0,frequency,0.5,244.5026283
00:04:04.5036723,0,frequency,0.5,244.5036723
00:04:04.5040689,0,frequency,0.5,244.5040689
00:04:16.8679107,1,offset,130.0,256.8679107
00:04:38.5500778,1,offset,80.0,278.5500778
00:04:45.5444563,1,offset,100.0,285.5444563
00:04:45.7181250,3,offset,128.0,285.718125
00:04:45.7404215,3,offset,126.0,285.7404215
00:04:45.7545343,3,offset,125.0,285.7545343
00:04:45.7685969,3,offset,123.0,285.7685969
00:04:45.8008376,3,offset,121.0,285.8008376
00:04:45.8196767,3,offset,119.0,285.8196767
00:04:45.8351207,3,offset,118.0,285.8351207
00:04:45.8862482,3,offset,117.0,285.8862482
00:04:46.0017181,3,offset,116.0,286.0017181
00:04:46.1521349,3,offset,115.0,286.1521349
00:04:46.3168025,3,offset,114.0,286.3168025
00:04:46.5004986,3,offset,113.0,286.5004986
00:04:46.5511116,3,offset,112.0,286.5511116
00:04:46.5850077,3,offset,111.0,286.5850077
00:04:46.6361307,3,offset,110.0,286.6361307
00:04:46.7056677,3,offset,109.0,286.7056677
00:04:46.7677287,3,offset,108.0,286.7677287
00:04:46.8004510,3,offset,107.0,286.800451
00:04:46.9003607,3,offset,106.0,286.9003607
00:04:47.0349341,3,offset,105.0,287.0349341
00:04:47.2664167,3,offset,104.0,287.2664167
00:04:47.3414581,3,offset,103.0,287.3414581
00:04:47.4537064,3,offset,102.0,287.4537064
00:04:47.5851136,3,offset,101.0,287.5851136
00:04:47.7373031,3,offset,100.0,287.7373031
00:05:00.3116629,1,phase shift,0.06981318,300.3116629
00:05:01.0940592,1,phase shift,0.03490659,301.0940592
00:05:07.9257144,1,amplitude,11.7,307.9257144
00:05:09.0750300,1,amplitude,9.2,309.07503
00:05:12.8879270,1,amplitude,10.0,312.887927
00:05:25.5376906,0,phase shift,2.7401671,325.5376906
00:05:26.0846149,0,phase shift,2.792527,326.0846149
00:05:26.1182067,0,phase shift,2.8099802,326.1182067
00:05:26.1342722,0,phase shift,2.8274333,326.1342722
00:05:26.1521485,0,phase shift,2.86234,326.1521485
00:05:26.1692884,0,phase shift,2.8972466,326.1692884
00:05:26.1846606,0,phase shift,2.9496067,326.18466060000003
00:05:26.2014960,0,phase shift,2.9670596,326.201496
00:05:26.2171708,0,phase shift,2.984513,326.2171708
00:05:26.2348856,0,phase shift,3.0194197,326.2348856
00:05:26.2679979,0,phase shift,3.0368729,326.2679979
00:05:26.2836382,0,phase shift,3.0717795,326.2836382
00:05:26.3020039,0,phase shift,3.089233,326.3020039
00:05:26.3200506,0,phase shift,3.106686,326.3200506
00:05:26.3347162,0,phase shift,3.1241393,326.3347162
00:05:26.3512968,0,phase shift,3.1415927,326.3512968
00:05:26.3853418,0,phase shift,3.159046,326.3853418
00:05:26.4182636,0,phase shift,3.1764994,326.4182636
00:05:26.4522223,0,phase shift,3.1939526,326.4522223
00:05:26.4681104,0,phase shift,3.211406,326.4681104
00:05:26.4857925,0,phase shift,3.2637658,326.4857925
00:05:26.5024462,0,phase shift,3.281219,326.5024462
00:05:26.5172439,0,phase shift,3.2986722,326.5172439
00:05:26.5339459,0,phase shift,3.3161259,326.5339459
00:05:26.5533992,0,phase shift,3.3335788,326.5533992
00:05:26.5671680,0,phase shift,3.3510325,326.567168
00:05:26.6192669,0,phase shift,3.3335788,326.6192669
00:05:26.6711523,0,phase shift,3.3161259,326.6711523
00:05:26.7020275,0,phase shift,3.2986722,326.7020275
00:05:26.7516222,0,phase shift,3.281219,326.7516222
00:05:26.7854447,0,phase shift,3.2637658,326.78544469999997
00:05:26.8007411,0,phase shift,3.2463124,326.8007411
00:05:26.8515273,0,phase shift,3.2288592,326.8515273
00:05:26.9206250,0,phase shift,3.211406,326.920625
00:05:27.1512894,0,phase shift,3.1939526,327.1512894
00:05:27.1852272,0,phase shift,3.1764994,327.1852272
00:05:27.3702224,0,phase shift,3.159046,327.3702224
00:05:40.3843254,0,offset,130.0,340.3843254
00:06:17.4019586,2,amplitude,10.0,377.4019586
00:06:52.0736366,2,offset,105.0,412.0736366
00:06:53.2113391,2,offset,104.0,413.2113391
00:06:53.2613667,2,offset,103.0,413.2613667
00:06:53.3610317,2,offset,102.0,413.3610317
00:06:53.4774273,2,offset,101.0,413.4774273
00:06:53.8606943,2,offset,100.0,413.8606943
00:06:56.8276036,2,offset,97.0,416.8276036
00:06:56.8443524,2,offset,94.0,416.8443524
00:06:56.8610195,2,offset,92.0,416.8610195
00:06:56.8777993,2,offset,91.0,416.8777993
00:06:56.8941961,2,offset,89.0,416.8941961
00:06:56.9104396,2,offset,87.0,416.9104396
00:06:56.9286846,2,offset,84.0,416.9286846
00:06:56.9937130,2,offset,83.0,416.993713
00:06:57.0608365,2,offset,82.0,417.0608365
00:06:57.4271464,2,offset,81.0,417.42714639999997
00:06:57.4770058,2,offset,80.0,417.47700580000003
00:06:57.4952719,2,offset,79.0,417.4952719
00:06:57.5605026,2,offset,78.0,417.5605026
00:07:11.6454131,2,offset,81.0,431.6454131
00:07:11.6620998,2,offset,84.0,431.6620998
00:07:11.6785254,2,offset,85.0,431.6785254
00:07:11.6950084,2,offset,86.0,431.6950084
00:07:11.7273442,2,offset,87.0,431.7273442
00:07:11.7783091,2,offset,88.0,431.7783091
00:07:11.7954786,2,offset,89.0,431.7954786
00:07:11.8110796,2,offset,90.0,431.81107959999997
00:07:11.8277501,2,offset,91.0,431.8277501
00:07:11.8603187,2,offset,92.0,431.8603187
00:07:12.0442239,2,offset,93.0,432.0442239
00:07:12.1281034,2,offset,94.0,432.1281034
00:07:12.2121286,2,offset,95.0,432.2121286
00:07:12.6110011,2,offset,94.0,432.6110011
00:07:12.7958161,2,offset,93.0,432.7958161
00:07:12.8943292,2,offset,92.0,432.8943292
00:07:13.0470119,2,offset,91.0,433.0470119
00:07:13.3280062,2,offset,90.0,433.3280062
00:07:20.0720672,2,amplitude,0.0,440.0720672
00:07:20.0721170,2,frequency,0.0,440.072117
00:07:20.0726224,2,frequency,0.0,440.0726224
00:07:20.0735333,2,phase shift,0.0,440.0735333
00:07:20.0736795,2,frequency,0.0,440.0736795
00:07:20.0741735,2,frequency,0.0,440.07417350000003
00:07:20.5593497,3,amplitude,0.0,440.5593497
00:07:20.5597989,3,offset,90.0,440.5597989
00:07:21.7027509,1,amplitude,0.0,441.7027509
00:07:21.7029671,1,phase shift,0.0,441.7029671
00:07:21.7033938,1,offset,90.0,441.7033938
00:07:27.9707479,0,amplitude,0.0,447.9707479
00:07:27.9708919,0,phase shift,0.0,447.9708919
00:07:27.9717040,0,offset,90.0,447.971704
00:07:48.0576929,0,offset,110.0,468.0576929
00:07:49.4006206,2,amplitude,48.0,469.4006206
00:07:52.6439148,2,amplitude,14.2,472.6439148
00:07:52.7780761,2,amplitude,8.5,472.7780761
00:07:52.7957398,2,amplitude,0.3,472.7957398
00:07:52.8125808,2,amplitude,0.0,472.8125808
00:08:02.5529368,0,frequency,0.1,482.5529368
00:08:02.5534438,0,frequency,0.1,482.5534438
00:08:02.5544991,0,frequency,0.1,482.5544991
00:08:02.5550121,0,frequency,0.1,482.5550121
00:08:08.9347085,0,frequency,0.4,488.9347085
00:08:08.9352125,0,frequency,0.4,488.9352125
00:08:08.9362700,0,frequency,0.4,488.93627
00:08:08.9367789,0,frequency,0.4,488.9367789
00:08:11.8802811,1,offset,100.0,491.8802811
00:08:14.7199725,0,frequency,0.2,494.7199725
00:08:14.7204794,0,frequency,0.2,494.7204794
00:08:14.7215403,0,frequency,0.2,494.7215403
00:08:14.7220525,0,frequency,0.2,494.7220525
00:08:16.5863330,3,offset,144.0,496.586333
00:08:16.9234300,3,offset,145.0,496.92343
00:08:16.9404230,3,offset,147.0,496.940423
00:08:16.9570801,3,offset,153.0,496.9570801
00:08:16.9729347,3,offset,158.0,496.9729347
00:08:16.9894928,3,offset,160.0,496.9894928
00:08:17.1056016,3,offset,161.0,497.1056016
00:08:17.1554933,3,offset,162.0,497.1554933
00:08:17.1731959,3,offset,163.0,497.1731959
00:08:17.1906206,3,offset,165.0,497.1906206
00:08:17.2061032,3,offset,167.0,497.20610320000003
00:08:17.2237124,3,offset,169.0,497.2237124
00:08:17.2402618,3,offset,172.0,497.2402618
00:08:17.2556049,3,offset,173.0,497.2556049
00:08:17.2723646,3,offset,174.0,497.2723646
00:08:17.3570012,3,offset,175.0,497.3570012
00:08:17.4556034,3,offset,176.0,497.4556034
00:08:17.4740638,3,offset,178.0,497.4740638
00:08:17.4895118,3,offset,179.0,497.4895118
00:08:17.5041368,3,offset,180.0,497.5041368
00:08:18.0230019,3,offset,173.0,498.0230019
00:08:18.0405813,3,offset,163.0,498.0405813
00:08:18.0572353,3,offset,151.0,498.0572353
00:08:18.0731504,3,offset,148.0,498.0731504
00:08:18.0895707,3,offset,143.0,498.0895707
00:08:18.1065530,3,offset,141.0,498.106553
00:08:18.1223387,3,offset,140.0,498.1223387
00:08:18.1400200,3,offset,138.0,498.14002
00:08:18.1733460,3,offset,137.0,498.173346
00:08:18.2054170,3,offset,136.0,498.205417
00:08:18.2394377,3,offset,135.0,498.2394377
00:08:18.2557690,3,offset,133.0,498.255769
00:08:18.2732492,3,offset,131.0,498.2732492
00:08:18.2916686,3,offset,129.0,498.2916686
00:08:18.3067349,3,offset,127.0,498.3067349
00:08:18.3243462,3,offset,126.0,498.3243462
00:08:18.3409999,3,offset,125.0,498.3409999
00:08:18.3567258,3,offset,124.0,498.3567258
00:08:18.3730290,3,offset,123.0,498.373029
00:08:18.3892041,3,offset,122.0,498.38920410000003
00:08:18.4057007,3,offset,121.0,498.4057007
00:08:18.4240012,3,offset,118.0,498.4240012
00:08:18.4400343,3,offset,117.0,498.4400343
00:08:18.4558827,3,offset,116.0,498.4558827
